2016-12-05 18:53:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:04:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:04:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:04:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:05:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:05:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:05:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:06:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:06:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:06:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:07:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:07:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:07:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:08:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:08:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:08:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:09:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:09:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:09:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:10:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:10:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:10:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:10:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:11:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:11:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:11:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:11:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:12:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:12:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:12:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:12:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:13:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:13:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:13:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:13:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:14:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:14:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:14:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:14:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:15:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:15:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:15:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:15:21 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:16:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:16:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:16:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:16:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:17:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:17:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:17:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:17:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:18:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:18:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:18:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:18:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:19:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:19:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:19:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:19:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:20:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:20:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:20:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:20:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:21:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:21:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:21:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:21:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:22:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:22:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:22:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:22:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:23:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:23:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:23:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:23:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:24:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:24:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:24:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:24:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:25:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:25:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:25:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:25:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:26:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:26:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:26:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:26:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:27:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:27:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:27:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:27:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:27:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:28:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:28:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:28:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:28:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:28:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:29:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:29:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:29:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:29:22 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:29:22 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:30:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:30:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:30:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:30:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:30:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:30:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:31:28 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:31:30 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:31:31 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:31:33 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:31:35 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:31:36 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:32:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:32:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:32:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:32:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:32:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:32:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:33:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:33:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:33:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:33:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:33:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:33:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:34:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:34:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:34:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:34:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:34:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:34:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:35:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:35:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:35:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:35:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:35:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:35:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:36:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:36:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:36:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:36:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:36:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:36:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:37:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:37:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:37:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:37:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:37:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:37:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:38:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:38:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:38:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:38:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:38:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:38:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:39:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:39:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:39:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:39:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:39:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:39:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:39:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:40:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:40:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:40:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:40:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:40:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:40:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:40:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:40:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999995, amountCode : 5, amountReal : 500, msg :  access..
2016-12-05 19:41:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:41:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:41:20 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:41:20 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:41:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:41:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:41:21 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999995, amountCode : 5, amountReal : 500, msg :  access..
2016-12-05 19:42:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999991, amountCode : 1, amountReal : 50, msg :  access..
2016-12-05 19:42:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:42:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999994, amountCode : 4, amountReal : 300, msg :  access..
2016-12-05 19:42:19 - [ 27.254.144.22 ] staus : 1, tmCode : , amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:42:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
2016-12-05 19:42:19 - [ 27.254.144.22 ] staus : 1, tmCode : 99999999999996, amountCode : 6, amountReal : 1000, msg :  access..
